Building,Room,Type,Capacity,Equipment_Tier,Special_Features,Similar_Venues,Front_Image,Rear_Image
1,G01,Flat Room - Tables and Chairs,16,Standard AV Equipment - Computer and Projector/Screen,,"1-G02, 1-G03",https://ltc.uow.edu.au/theatres/images/1-G01-F.JPG,https://ltc.uow.edu.au/theatres/images/1-G01-R.JPG
1,G02,Flat Room - Tables and Chairs,22,Standard AV Equipment - Computer and Projector/Screen,,"1-G01, 1-G03",https://ltc.uow.edu.au/theatres/images/1-G02-F.JPG,https://ltc.uow.edu.au/theatres/images/1-G02-R.JPG
1,G03,Flat Room - Tables and Chairs,22,Standard AV Equipment - Computer and Projector/Screen,"Video Conference Facilities - Document Camera,","1-G01, 1-G02",https://ltc.uow.edu.au/theatres/images/1-G03-F.JPG,https://ltc.uow.edu.au/theatres/images/1-G03-R.JPG
1,G04,Flat Room - Tables and Chairs,44,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Document Camera - Dual Screens,1.G05,https://ltc.uow.edu.au/theatres/images/1-G04-F_550x450.jpg,https://ltc.uow.edu.au/theatres/images/1-G04-R_550x450.jpg
1,G05,Flat Room - Tables and Chairs,42,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Document Camera - Dual Screens,1.G04,https://ltc.uow.edu.au/theatres/images/1-G05-F.jpeg,https://ltc.uow.edu.au/theatres/images/1-G05-R.jpeg
3,121,Flat Room - Tables and Chairs,66,Hybrid/ Dual Delivery (Interactive),"Video Conference Facilities - Document Camera,",,https://ltc.uow.edu.au/theatres/images/3-121-F.JPG,https://ltc.uow.edu.au/theatres/images/3-121-R.JPG
3,122,Flat Room - Tables and Chairs,36,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/3-122-F.JPG,https://ltc.uow.edu.au/theatres/images/3-122-R.JPG
3,123,Flat Room - Tables and Chairs,32,Hybrid/ Dual Delivery (Interactive),Video Conferencing - Document Camera,,https://ltc.uow.edu.au/theatres/images/3-123-F.JPG,https://ltc.uow.edu.au/theatres/images/3-123-R.JPG
3,3-237,Flat Room - Tables and Chairs,40,Hybrid/ Dual Delivery (Interactive),Dual Screen - Digital Whiteboard,3-237A,https://ltc.uow.edu.au/theatres/images/3-237-F.JPG,https://ltc.uow.edu.au/theatres/images/3-237-R.JPG
3,3-237A,Flat Room - Tables and Chairs,40,Hybrid/ Dual Delivery (Interactive),Dual Screen - Digital Whiteboard,3-237,https://ltc.uow.edu.au/theatres/images/3-237A-F.JPG,https://ltc.uow.edu.au/theatres/images/3-237A-R.JPG
4,G31,Flat Room - Tables and Chairs,32,Hybrid/ Dual Delivery (Interactive),,,https://ltc.uow.edu.au/theatres/images/4-G31-F.JPG,https://ltc.uow.edu.au/theatres/images/4-G31-R.JPG
6,210,Lecture Theatre,48,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,"32-G01, 21-G08",https://ltc.uow.edu.au/theatres/images/6-210-F.JPG,https://ltc.uow.edu.au/theatres/images/6-210-R.JPG
8,G24,Flat Room - Tables and Chairs,24,Standard AV Equipment - Computer and Projector/Screen,Document Camera,,https://ltc.uow.edu.au/theatres/images/8-G24-F.JPG,https://ltc.uow.edu.au/theatres/images/8-G24-R.JPG
